iter	RMSE
651	8173.388099
652	8166.516887
653	8159.91214
654	8150.483155
655	8135.177204
656	8123.320699
657	8117.528807
658	8114.070355
659	8102.643318
660	8096.046301
661	8080.284547
662	8062.175279
663	8053.045262
664	8047.539897
665	8040.756889
666	8027.777016
667	8016.916977
668	8012.414582
669	8004.578228
670	7990.771048
671	7973.642623
672	7956.962062
673	7943.609351
674	7935.02381
675	7927.978386
676	7923.944739
677	7909.905256
678	7897.197102
679	7886.41653
680	7878.291915
681	7862.632482
682	7858.422705
683	7845.825422
684	7832.256039
685	7823.250246
686	7816.185019
687	7809.774814
688	7797.670284
689	7781.477433
690	7775.078553
691	7766.850993
692	7751.225856
693	7738.777563
694	7726.642949
695	7719.593337
696	7705.204012
697	7697.347138
698	7682.120732
699	7673.250049
700	7659.979533
701	7647.47409
702	7640.397548
703	7632.360195
704	7622.502003
705	7611.022055
706	7604.860547
707	7594.430151
708	7579.970334
709	7570.927364
710	7563.338557
711	7555.246253
712	7539.509928
713	7527.281099
714	7520.209347
715	7516.755194
716	7508.485336
717	7496.844379
718	7493.710053
719	7487.168248
720	7475.435533
721	7470.202221
722	7461.820163
723	7453.958672
724	7446.157024
725	7438.657205
726	7437.71306
727	7429.890464
728	7428.421907
729	7421.001395
730	7413.771016
731	7406.861694
732	7396.674349
733	7388.270571
734	7382.183321
735	7376.686113
736	7369.896196
737	7352.499266
738	7346.69738
739	7341.510326
740	7332.337519
741	7325.875487
742	7309.051963
743	7305.078309
744	7295.752816
745	7290.901121
746	7283.020125
747	7270.697919
748	7266.542385
749	7255.388327
750	7249.179085
751	7238.597274
752	7227.897808
753	7224.311934
754	7220.789035
755	7213.562674
756	7196.777458
757	7186.596151
758	7180.502345
759	7166.714484
760	7153.674343
761	7145.501457
762	7129.19783
763	7121.886846
764	7116.840857
765	7112.182475
766	7106.693398
767	7102.178297
768	7094.794027
769	7093.833402
770	7079.926764
771	7075.544686
772	7073.041196
773	7066.525354
774	7056.603119
775	7050.986707
776	7046.761336
777	7037.480193
778	7027.184879
779	7020.145617
780	7016.478883
781	7003.827166
782	6997.333437
783	6987.638282
784	6985.49167
785	6973.506625
786	6967.258681
787	6959.795855
788	6946.461661
789	6936.698164
790	6925.192319
791	6913.962777
792	6901.917203
793	6892.56086
794	6884.150695
795	6881.624383
796	6872.589855
797	6863.138485
798	6849.836725
799	6836.9183
800	6825.603434
801	6810.065487
802	6794.859169
803	6782.740943
804	6772.936558
805	6765.928895
806	6758.393215
807	6756.498227
808	6745.044227
809	6739.467946
810	6732.773985
811	6726.998402
812	6726.133216
813	6717.272294
814	6716.335292
815	6706.244812
816	6696.443301
817	6683.852617
818	6674.368504
819	6672.493624
820	6662.315164
821	6651.374459
822	6641.843336
823	6634.612807
824	6631.244229
825	6619.780967
826	6607.299846
827	6599.365165
828	6585.106994
829	6575.089517
830	6568.419384
831	6557.356585
832	6550.902137
833	6543.045814
834	6528.379085
835	6515.872498
836	6497.568851
837	6488.030462
838	6478.573129
839	6473.000405
840	6465.053251
841	6457.016337
842	6446.704729
843	6444.035837
844	6433.661213
845	6426.256737
846	6416.488721
847	6405.968588
848	6389.806645
849	6388.614423
850	6387.009562
851	6377.150645
852	6363.551639
853	6351.445372
854	6350.682704
855	6345.21238
856	6335.861552
857	6322.494601
858	6313.566783
859	6303.121522
860	6297.616879
861	6288.125139
862	6283.155806
863	6273.683503
864	6261.073555
865	6257.635584
866	6248.659316
867	6242.428977
868	6242.003708
869	6230.192884
870	6224.055319
871	6217.841295
872	6209.312838
873	6199.207227
874	6198.344172
875	6189.04536
876	6182.139675
877	6175.304421
878	6165.535336
879	6157.056388
880	6144.458017
881	6141.302002
882	6128.54042
883	6118.214098
884	6108.505976
885	6094.788448
886	6084.966578
887	6075.488941
888	6063.700321
889	6061.046127
890	6052.496872
891	6043.545912
892	6041.508132
893	6034.317288
894	6027.149288
895	6019.880336
896	6019.124759
897	6011.290115
898	6001.966748
899	5990.503197
900	5986.955024
901	5979.493167
902	5972.244974
903	5961.606164
904	5960.79868
905	5950.060673
906	5949.397377
907	5942.656561
908	5942.092785
909	5931.07451
910	5924.236049
911	5920.384025
912	5912.645688
913	5910.758654
914	5900.028568
915	5894.362193
916	5888.58194
917	5885.2275
918	5874.58236
919	5864.834415
920	5864.218086
921	5858.819755
922	5850.36256
923	5839.101403
924	5829.672365
925	5828.946061
926	5824.450774
927	5814.814157
928	5809.264574
929	5801.845891
930	5791.166164
931	5790.271173
932	5778.364852
933	5773.215842
934	5765.429062
935	5759.849403
936	5750.997507
937	5745.962454
938	5736.75379
939	5728.937507
940	5719.578394
941	5713.00233
942	5705.11522
943	5700.444549
944	5693.034483
945	5682.696174
946	5673.035243
947	5666.046933
948	5658.910766
949	5646.941863
950	5637.785422
951	5627.68852
952	5624.190358
953	5616.014083
954	5606.505499
955	5591.216522
956	5584.072141
957	5578.440559
958	5570.665091
959	5559.922706
960	5549.543894
961	5542.351091
962	5536.875286
963	5530.406642
964	5525.205978
965	5518.474925
966	5509.635785
967	5502.37991
968	5498.043177
969	5492.601793
970	5492.123027
971	5482.313041
972	5475.253389
973	5466.054785
974	5461.98335
975	5461.397524
976	5451.746268
977	5448.178485
978	5440.637196
979	5431.871479
980	5429.192113
981	5424.172956
982	5423.718155
983	5416.174187
984	5414.324988
985	5406.383611
986	5400.645538
987	5387.004155
988	5386.503902
989	5373.755048
990	5365.33189
991	5360.350958
992	5355.065454
993	5350.805992
994	5343.925101
995	5343.607845
996	5339.200764
997	5338.483267
998	5326.360063
999	5320.97421
